Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Refrigerador / Geladeira Cônsul CRD37 334L Duplex;3431,23;https://www.magazineluiza.com.br/refrigerador-geladeira-consul-crd37-334l-duplex-consul/p/jjkafda58g/ed/refr/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul Cycle Defrost Duplex 2 Portas CRD37EB 334L Branca 110V;2512,71;https://www.magazineluiza.com.br/geladeira-consul-cycle-defrost-duplex-2-portas-crd37eb-334l-branca-110v/p/kb281afaeg/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul CRD37EB Cycle Defrost Duplex 334 Litros Branca;2874,00;https://www.magazineluiza.com.br/geladeira-consul-crd37eb-cycle-defrost-duplex-334-litros-branca/p/ee8k05h5kc/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul 334L CRD37EB Cycle Defrost com Freezer Supercapacidade Branca;2665,80;https://www.magazineluiza.com.br/geladeira-consul-334l-crd37eb-cycle-defrost-com-freezer-supercapacidade-branca/p/kc95f471ff/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul CRD37EBANA 334 Litros Duplex Cycle Defrost;3654,91;https://www.magazineluiza.com.br/geladeira-consul-crd37ebana-334-litros-duplex-cycle-defrost/p/ge4j7c29ff/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Refrigerador Consul 334L Defrost 2 Portas Crb37e Branco 110v;2936,90;https://www.magazineluiza.com.br/refrigerador-consul-334l-defrost-2-portas-crb37e-branco-110v/p/ajd52b084a/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Refrigerador Consul Duplex 334L Cycle Defrost Branco 127 V;2899,90;https://www.magazineluiza.com.br/refrigerador-consul-duplex-334l-cycle-defrost-branco-127-v/p/dkg32bb2df/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Refrigerador Geladeira Consul 2 Portas 334 Litros CRD37EB;5038,90;https://www.magazineluiza.com.br/refrigerador-geladeira-consul-2-portas-334-litros-crd37eb/p/ja6f65dde0/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul 2 Portas 334 Litros CRD37EB Branco 110V;2799,90;https://www.magazineluiza.com.br/geladeira-consul-2-portas-334-litros-crd37eb-branco-110v/p/db00k4j44j/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Refrigerador Consul CRD37 334 Litros Cycle Defrost Branco;3573,00;https://www.magazineluiza.com.br/refrigerador-consul-crd37-334-litros-cycle-defrost-branco/p/ae5eecdc0e/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
